Game,Finished,Genre,Platform,Release date,Service,Review,GOTY
Battletech,20.9.2025,Turnbased tactics,Linux,2018,Steam,"I hate reviews that point out that a game has so much wasted potential, and Battletech to my annoyance has that wasted potential. The game has two issues: technical and design.\n\nThe technical problems begin with the Atlas in the room, namely the performance. I don't understand how this game can perform so bad considering it doesn't look that good, doesn't simulate bullet trajectories (ie. missiles clip through mountainsides and still hit their target), and in general only uses the visuals as an abstraction to an under the hood die roll. I would excuse the erratic frame drops on a high end PC if the reason was an intricate physics simulation that accurately calculates bullet drop over a kilometer of range with a changing terrain, but the game doesn't do anything of the kind. The performance also extends to the UI - simply okaying a OK checkbox in the FIFA team management part of the game (that is, outside combat), may take 3 seconds. Even if everything else about the game was perfect, these performance issues would cost the game's score to drop from 10 to 7.\n\nNext are the design problems: The singleplayer campaign features missions where the player is constantly facing overwhelming odds, usually 1 player lance facing 2-4 enemy lances. This would be acceptable if the game allowed me to play smart: Allow me to analyze the OPFOR and the map before I accept a contract, allow me to choose where on the map I deploy my lance, give me the tools to play smart (aerial recon, beagle probes, artillery...), but it doesn't. In addition, the enemy frequently gets reinforcements which appear on the map out of thin air, often to a spot you have already scouted and where you already have a mech holding a nice, defensive position. This is exactly the same behavior that the problematic X-Com remake had. The only way to successfully complete the missions is to exploit the AI by forcing them to engage your mechs one at a time, which I don't want to do as it makes me feel like I'm playing a boardgame where I minmax with the rules instead of roleplaying a commander of a mech lance.\n\nAfter all the negativity, there is one saving grace for Battletech: mods. Especially Battletech Advanced 3062 adds a lot of needed complexity to the game, but even it struggles to manage with the game's massive technical and design problems. If the core game had a solid foundation on which to build on, the mods would make Battletech one of the best games I've played. Unfortunately, it doesn't.\n\nBuy at a heavy discount only if you have an absurdly powerful PC with at least 32 GB of RAM."
Starcom: Unknown Space,18.8.2025,Space exploration,Linux,2024,GOG,"An extremely well made space game that combines Star Trek with Star Control. The first 12 hours were 10/10, but after that I began to tire of the same weapons, ships, and recycled events. Considering the game took me 26 hours to complete with plenty of side content undone, this means there was quite a lot of uninteresting exploration after the initial greatness. However, every now and then a new event or a discovery refreshed the otherwise mundane flying through empty space. I also felt there were too many alien races, and instead of adding new ones, I would have preferred going deeper with a smaller number.\n\nI felt the ship building was fun, but some resources were a bit too tight to find and upgrading my ship was a bit slow. But regardless of that, I never felt the game was hard and challenge was good, until in the late game I felt I was way too powerful even though I hadn't even upgraded everything to max.\n\nThe story was good but not great, writing all right, graphics good, and music suitable. Recommended at full price."
Another Crab's Treasure,2.8.2025,Souls,Linux,2024,Steam,"Executes its idea in a delightfully charming way. I was not a huge fan of the graphical style, but objectively I think it's good. This is a solid souls-like that feels mostly good to play and has an enjoyable sense of humor. Exploring the areas and seeing how the underwater life uses scrap is probably the game's best part.\n\nThe combat feels good in regards to striking and blocking, and parrying (once learned) is mostly solid with an asterisk. The special abilities done with right trigger all are good and enjoyable to use. The grappling hook, on the other hand, lacks polish - don't expect Sekiro.\n\nThe game has three major problems:\n\n1) The movement is, by design, clumsy, and you can't really maneuver around enemies like you can in more faster-paced souls-likes. This also makes the games extensive platforming segments a chore to play, and often boss fights can feel like a waiting game especially with later bosses that keep running away or stall for time.\n\n2) The bosses follow the current souls-like school of thought where enemies use \'delayed loaded spring attacks\' that delay, then strike like a loaded spring faster than the human reaction time. The only way to avoid such an attack is to memorize it. Combined with point 1), this makes the boss fights an exercise in memorization, which I hate.\n\n3) Many of the skills that are unlocked through the snail would work better as default movements, especially parry, riposte, and critical attack. I wondered for a long time what the point of capsizing enemies is if I can barely land 1 or 2 normal hits on them, only to later discover I was supposed to unlock the critical strike ability. Much like Lies of P, it makes little sense to me to lock these behind upgrades. Why do modern games insist on unlockables?\n\nOther minor nitpicks about the combat are:\n\nOften parrying successfully must NOT be followed by a riposte, as parrying does not stagger all enemies and attacks. This is especially true for bosses where parrying is a trap that punishes the player unless you know to parry only the final attack in a 5 attack chain, as the fifth attack is the only one where the enemy cannot strike back at you. This is a shame as the parrying, once learned, is quite good and easy to use as it is (finally!) a return to the Dark Souls 1 system where there are no windup frames.\n\nThe final boss has a move where he enters his shell that reflects the attack back to the player, and he can do this in middle of a player's attack animation, which makes taking damage in this fight essentially random.\n\nThe targeting, without lock on, often directs the player to an enemy. If I play without a lock on, I want my attacks to be unguided. This frequently leads me to striking enemies I did not want to strike at.\n\nThe input queueing behaves differently for different animation states, and often I tap a button (such as healing), and wonder why my crab stands still without healing. Sometimes the healing is queued properly and executes the moment my previous animation completes. This also happens frequently with charge attack not beginning to charge even though my attack button is pressed down.\n\nMany attacks that can be dodged still deal damage to the player after dodging them. The final boss is the worst offender in this where the side-sweeping attacks, if dodged sideways, don't deal damage at the beginning of the dodge, but do so when the iframes end.\n\nBeyond that, I recommend Crab Souls as a solid souls-like. It's clearly a labor of love and, while it has its share of bugs, looks complete without any obviously unfinished areas or bossfights."
Mouthwashing,29.5.2025,Horror,Linux,2024,Steam,"I don't even know. Play it I guess."
Grunn,28.5.2025,Horror,Linux,2024,Steam,"A simple horror game that has a 30~ minute playable sequence that the player repeats over and over again. The only way to advance in this game is to know more, as nothing persists between runs. The mystery and the progression by knowledge was fun, similar to Outer Wilds, but ultimately I hoped the story did more. Worth getting at full price if you want a fun world to explore with around 8 hours of gameplay."
Tormented Souls,27.2.2025,Horror,Windows,2021,GOG,"A good looking old school horror game that plays with the equal jank to the older Silent Hill games. I quit after a few hours due to the save system. Saves are earned by finding items that allow saving, and they are rare. You can't quit the game without saving, and you cannot earn more save points without proceeding in the game. Dying is easy with the old school bad camera angles, and death means easily losing an hour of progress. Story felt clumsily written, and in the first few hours didn't give me any reason to feel afraid at anything the game showed me. Goes in the big bucket of games that look good but have little else going for them."
Arx Fatalis,28.5.2025,CRPG,Windows,2002,GOG,"I played with the Arx Libertatis engine, which fixes many bugs, but I still had my share of them. This is a very unique gem that I enjoyed, even though the slow movement speed and jank often frustrated me. There's a lot of fun mechanics like cooking food that bring a smile to my face. The spell system, while cool, suffers from the usual pitfalls for gesture systems, namely the gestures not being recognized. At least the game doesn't punish you too hard for messing them up. The world was fascinating, and I hoped the game would have explored it more. Overall, this was a fun game that could have been so much more."
Not For Broadcast,29.1.2025,Motion propaganda simulator,Windows,2022,GOG,"The basic idea of this game is ingenious. Being the guy who decides which camera is shown and which adverts to run is a great system, and that was by far the game's highpoint. Unfortunately, the bad stuff made that part weaker than it could be.\n\nThe game is filled with little events that increase the difficulty, which all build on the idea that you have to focus on several things at the same time: What the people on the broadcast say (so you can predict what to do in a few seconds), managing the interference gauge, censoring bleeps, not showing photobombers, and ultimately, not pressing the electrified buttons. Of these, I enjoyed only the censoring aspects. The interference gauge is simply a weird mechanic that shouldn't be there, and the electrified buttons made me reload a save twice before I understood how the game mechanic works. Then it made me load a save third time as I kept pressing the electrified buttons on the same second the buttons got electrified.\n\nI didn't initially realize the electrifation is simply a roundabout way of preventing me from picking the most obvious camera angle. As soon as I realized the game is simply doing this, it became a weird 4D chess game where I had to ask myself: If I was the game developer, how would I make choosing camera angles as difficult as possible? As soon as I thought of that, I found the angles to use. An awful mechanic.\n\nI didn't get the story, as I simply lacked the ability to focus on the context or comprehending what people are saying while focusing on the production aspects. Luckily the game gives you a replay feature after the broadcast, although I found that tiresome.\n\nThis is a weird game. Get it on sale."
Dome Keeper,29.1.2025,Roguelite tower defense,Windows,2022,GOG,"Fun little game that combines mining for resources and defending against attacks against your base on the surface. The mining aspects got tiring soon, and I would have wanted the drillbert run to be default, even for the guild assignment missions. The tower defense aspect is sometimes fun, sometimes annoying, and is largely dependent on which dome you use or what the RNG gives you.\n\nThis goes on that list of roguelites where the unlockables seriously take away from the experience: by the time you start to unlock stuff, the game has become repetitive as you are just using the same equipment all the time. If the game started with the full pool of items already in the mix, it would work a lot better.\n\nBuy at a discount."
Spooky's Jump Scare Mansion,19.1.2025,Horror,Windows,2015,Steam,"I don't quite get this game. It's seemingly procedurally generated hallways that keep going for 1000 rooms with next to nothing happening. If there was a story that continued from one room to another, or engaging gameplay in every room, I might have been lukewarm to this game, but after 250 rooms of pretty much nothing happening, I quit the game."
